##NAMES=Hydroxylbastnasite-(Ce)
##RRUFFID=R060283
##IDEAL CHEMISTRY=CeCO_3_(OH)
##LOCALITY=Trimouns, Luzenac, France
##OWNER=RRUFF
##SOURCE=Herb Obodda
##DESCRIPTION=Brown hexagonal tablet
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060283
##MEASURED CHEMISTRY=(Ce_0.50_Nd_0.24_(La,Pr)_0.23_Y_0.03_)_Σ=1_CO_3_((OH)_0.65_F_0.35_)_Σ=1_
##PIN_ID=M00326
##ORIENTATION=Laser parallel to -c* (0 0 -1). Fiducial mark perpendicular to laser is parallel to a [1 0 0]
463.4270, 301.6033
464.6150, 227.0005
465.8040, 262.4312
466.9910, 186.8955
468.1790, 254.3926
469.3670, 169.9221
470.5540, 174.4834
471.7410, 122.0757
472.9280, 182.6987
474.1150, 93.35156
475.3020, 63.03394
476.4890, 103.7456
477.6750, 0.4855960
478.8610, 29.25073
480.0470, 17.04297
481.2330, 25.13818
482.4190, 58.30249
483.6040, 3.537842
484.7900, 76.59863
485.9750, 64.74146
487.1600, 62.88647
488.3450, 120.0342
489.5290, 40.21167
490.7140, 106.3855
491.8980, 165.5857
493.0820, 132.8413
494.2660, 88.13916
495.4500, 100.4595
496.6340, 103.8110
497.8170, 111.1958
499.0010, 125.6189
500.1840, 128.0894
501.3670, 167.6089
502.5500, 206.1978
503.7320, 183.3745
504.9150, 216.6355
506.0970, 156.4929
507.2790, 149.4209
508.4610, 159.4172
509.6430, 136.5508
510.8250, 186.6257
512.0060, 154.8540
513.1870, 158.1597
514.3680, 210.5454
515.5490, 218.0386
516.7300, 150.6443
517.9110, 157.3306
519.0910, 183.1018
520.2710, 137.9717
521.4510, 157.9199
522.6310, 116.9568
523.8110, 150.0637
524.9910, 112.2578
526.1700, 49.52124
527.3490, 62.82568
528.5280, 38.41309
529.7070, 50.56738
530.8860, 25.00098
532.0650, 25.46777
533.2430, 11.03076
534.4210, 3.510742
535.5990, 6.031982
536.7770, 27.39697
537.9550, 47.81274
539.1320, 56.22192
540.3100, 121.6272
541.4870, 112.0371
542.6640, 174.4514
543.8410, 234.8701
545.0170, 263.2930
546.1940, 295.7200
547.3700, 330.1506
548.5470, 389.5847
549.7230, 409.0225
550.8980, 473.4631
552.0740, 420.9070
553.2500, 613.3535
554.4250, 632.8025
555.6000, 691.2544
556.7750, 855.7085
557.9500, 920.1643
559.1250, 1133.622
560.2990, 1169.082
561.4730, 1255.542
562.6480, 1420.005
563.8220, 1546.468
564.9950, 1655.932
566.1690, 1799.720
567.3430, 1929.863
568.5160, 2048.328
569.6890, 2208.794
570.8620, 2324.260
572.0350, 2327.725
573.2070, 2534.191
574.3800, 2592.656
575.5520, 2617.120
576.7240, 2794.583
577.8960, 2813.044
579.0680, 2798.506
580.2400, 2971.966
581.4110, 2902.423
582.5830, 2950.880
583.7540, 2891.335
584.9250, 2826.789
586.0950, 2837.239
587.2660, 2864.689
588.4370, 2666.135
589.6070, 2721.579
590.7770, 2553.021
591.9470, 2390.460
593.1170, 2456.897
594.2860, 2284.331
595.4560, 2118.761
596.6250, 1999.189
597.7940, 1923.614
598.9630, 1810.036
600.1320, 1764.453
601.3000, 1605.868
602.4690, 1417.280
603.6370, 1366.687
604.8050, 1283.091
605.9730, 1036.491
607.1410, 968.8882
608.3090, 876.2803
609.4760, 769.6689
610.6430, 747.0537
611.8100, 617.4341
612.9770, 639.8108
614.1440, 481.1831
615.3110, 477.5510
616.4770, 413.9153
617.6430, 486.2744
618.8090, 302.5417
619.9750, 335.8940
621.1410, 252.2444
622.3070, 310.0112
623.4720, 260.5791
624.6370, 255.8916
625.8020, 235.4541
626.9670, 240.4561
628.1320, 236.8401
629.2970, 252.4495
630.4610, 249.3027
631.6250, 248.7681
632.7890, 266.8647
633.9530, 253.7766
635.1170, 256.6323
636.2810, 263.8491
637.4440, 267.7449
638.6070, 304.1025
639.7700, 280.7659
640.9330, 227.7275
642.0960, 250.6289
643.2590, 227.1992
644.4210, 216.9631
645.5830, 221.7634
646.7450, 229.8420
647.9070, 229.9785
649.0690, 266.6167
650.2310, 284.4172
651.3920, 291.2212
652.5530, 283.7742
653.7140, 356.7031
654.8750, 398.0981
656.0360, 488.6460
657.1970, 623.0459
658.3570, 683.9639
659.5170, 747.2937
660.6770, 923.1968
661.8370, 1112.877
662.9970, 1241.910
664.1570, 1371.953
665.3160, 1432.167
666.4750, 1288.814
667.6340, 1323.712
668.7930, 1238.899
669.9520, 1162.403
671.1110, 1156.275
672.2690, 1212.098
673.4270, 1166.888
674.5850, 1257.258
675.7430, 1292.611
676.9010, 1425.638
678.0590, 1429.958
679.2160, 1449.542
680.3730, 1536.764
681.5300, 1654.024
682.6870, 1878.312
683.8440, 2155.629
685.0010, 2561.971
686.1570, 2815.346
687.3130, 3268.754
688.4690, 3666.187
689.6250, 4017.660
690.7810, 4293.159
691.9370, 4648.685
693.0920, 4811.242
694.2470, 4834.824
695.4020, 4804.425
696.5570, 4399.046
697.7120, 4263.690
698.8670, 3815.353
700.0210, 3565.036
701.1750, 3329.742
702.3290, 3064.468
703.4830, 2931.213
704.6370, 2837.977
705.7910, 2535.760
706.9440, 2394.562
708.0970, 2378.385
709.2510, 2092.226
710.4030, 1957.085
711.5560, 1812.964
712.7090, 1547.863
713.8610, 1392.780
715.0140, 1255.716
716.1660, 1207.672
717.3180, 1239.646
718.4690, 1224.640
719.6210, 1290.653
720.7730, 1297.345
721.9240, 1332.736
723.0750, 1373.807
724.2260, 1443.897
725.3770, 1548.006
726.5270, 1552.135
727.6780, 1695.283
728.8280, 1688.450
729.9780, 1662.636
731.1280, 1701.842
732.2780, 1513.068
733.4280, 1492.313
734.5770, 1361.577
735.7260, 1402.861
736.8760, 1419.165
738.0250, 1363.487
739.1730, 1254.830
740.3220, 1328.191
741.4700, 1337.573
742.6190, 1342.974
743.7670, 1383.395
744.9150, 1397.835
746.0630, 1391.295
747.2100, 1456.775
748.3580, 1385.274
749.5050, 1359.793
750.6520, 1378.332
751.7990, 1401.890
752.9460, 1367.468
754.0930, 1475.067
755.2390, 1435.685
756.3860, 1443.324
757.5320, 1543.172
758.6780, 1575.258
759.8240, 1683.206
760.9690, 1814.545
762.1150, 1979.347
763.2600, 1966.362
764.4060, 2033.767
765.5510, 2282.626
766.6950, 2308.392
767.8400, 2518.983
768.9850, 2627.730
770.1290, 2652.832
771.2730, 2858.401
772.4170, 2924.500
773.5610, 3120.662
774.7050, 3208.845
775.8480, 3295.137
776.9920, 3536.468
778.1350, 3532.794
779.2780, 3602.212
780.4210, 3697.651
781.5640, 3736.279
782.7060, 3953.825
783.8490, 3837.633
784.9910, 3959.495
786.1330, 3937.320
787.2750, 3885.457
788.4170, 3980.382
789.5580, 3736.901
790.7000, 3765.048
791.8410, 3649.379
792.9820, 3635.498
794.1230, 3470.960
795.2640, 3382.693
796.4040, 3215.188
797.5450, 3032.607
798.6850, 2940.955
799.8250, 2813.914
800.9650, 2732.658
802.1050, 2510.828
803.2450, 2430.407
804.3840, 2143.464
805.5230, 2208.854
806.6630, 2009.604
807.8020, 1970.205
808.9400, 1763.458
810.0790, 1648.193
811.2170, 1505.711
812.3560, 1393.378
813.4940, 1310.273
814.6320, 1238.025
815.7700, 1168.061
816.9070, 1094.350
818.0450, 1063.295
819.1820, 955.5476
820.3190, 914.1509
821.4560, 852.4128
822.5930, 876.7852
823.7300, 805.0120
824.8670, 632.5996
826.0030, 691.6736
827.1390, 609.9746
828.2750, 568.3267
829.4110, 548.4795
830.5470, 561.5361
831.6820, 544.0366
832.8180, 667.8091
833.9530, 650.0874
835.0880, 776.6597
836.2230, 860.1748
837.3580, 802.0391
838.4920, 872.6072
839.6270, 984.8643
840.7610, 1152.045
841.8950, 1501.229
843.0290, 1762.475
844.1630, 2104.813
845.2960, 2441.003
846.4300, 2755.195
847.5630, 3106.387
848.6960, 3296.583
849.8290, 3369.778
850.9620, 3472.974
852.0940, 3424.171
853.2270, 3347.369
854.3590, 3208.567
855.4910, 2959.765
856.6230, 2766.964
857.7550, 2560.161
858.8870, 2306.359
860.0180, 2217.556
861.1500, 1952.752
862.2810, 1804.947
863.4120, 1724.141
864.5430, 1553.333
865.6730, 1663.524
866.8040, 1711.713
867.9340, 2088.900
869.0640, 2696.084
870.1940, 3304.267
871.3240, 3740.447
872.4540, 3436.624
873.5830, 3137.798
874.7130, 2735.969
875.8420, 2412.136
876.9710, 2052.301
878.1000, 1536.461
879.2290, 1160.617
880.3570, 960.7693
881.4860, 722.9170
882.6140, 561.0603
883.7420, 475.1987
884.8700, 293.3328
885.9980, 246.4614
887.1250, 123.5854
888.2530, 134.7522
889.3800, 99.96948
890.5070, 105.0825
891.6340, 115.3799
892.7610, 8.293457
893.8880, 16.17041
895.0140, 82.09741
896.1400, 70.86743
897.2670, 44.76294
898.3930, 46.73779
899.5180, 17.77271
900.6440, 72.85718
901.7700, 21.98633
902.8950, 81.13452
904.0200, 34.33374
905.1450, 5.440186
906.2700, 27.79712
907.3950, 66.94043
908.5190, 32.66797
909.6440, 51.38501
910.7680, 27.09253
911.8920, 15.21094
913.0160, 56.46265
914.1400, 39.12500
915.2630, 95.77441
916.3870, 32.41187
917.5100, 80.03540
918.6330, 27.64575
919.7560, 31.24268
920.8790, 48.82373
922.0010, 22.38989
923.1240, 57.93896
924.2460, 8.472168
925.3680, 47.98413
926.4900, 36.47827
927.6120, 31.04614
928.7340, 44.38550
929.8550, 28.79810
930.9760, 14.81030
932.0980, 27.45654
933.2190, 72.14844
934.3390, 79.91040
935.4600, 58.74707
936.5810, 63.64893
937.7010, 20.61865
938.8210, 58.63525
939.9410, 1.281494
941.0610, 50.83765
942.1810, 47.02075
943.3010, 24.26001
944.4200, 46.55151
945.5390, 57.90747
946.6580, 47.98975
947.7770, 56.82617
948.8960, 42.38159
950.0150, 45.99976
951.1330, 44.68530
952.2510, 31.43726
953.3690, 0.7534180
954.4870, 4.099365
955.6050, 25.00635
956.7230, 14.92285
957.8400, 11.90088
958.9580, 18.06982
960.0750, 39.99731
961.1920, 29.86865
962.3090, 4.699707
963.4250, 7.513672
964.5420, 46.22803
965.6580, 94.94946
966.7740, 69.64404
967.8900, 125.3088
969.0060, 91.94751
970.1220, 100.5581
971.2380, 68.15405
972.3530, 97.71924
973.4680, 140.2556
974.5830, 207.7668
975.6980, 179.2522
976.8130, 149.7153
977.9280, 133.1519
979.0420, 218.5610
980.1560, 186.9448
981.2710, 286.3030
982.3850, 240.6375
983.4980, 267.9465
