##NAMES=Inderite
##RRUFFID=R050195
##IDEAL CHEMISTRY=MgB_3_O_3_(OH)_5_&#183;5H_2_O
##LOCALITY=Boron, Kern County, California, USA
##OWNER=RRUFF
##SOURCE=Dave Bunk Minerals
##DESCRIPTION=Colorless prismatic crystal
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050195
##MEASURED CHEMISTRY=Mg_1.00_B_3.00_O_3_(OH)_5_·5H_2_O ; Mg measured, only
##PIN_ID=L00296
##ORIENTATION=Laser parallel to c* (0 0 1). Fiducial mark perpendicular to laser is parallel to a [1 0 0]
921.124, 939.635
922.389, 742.375
923.653, 837.152
924.918, 729.908
926.182, 864.676
927.445, 891.549
928.709, 952.336
929.972, 1101.127
931.236, 1254.984
932.499, 1158.791
933.761, 1462.734
935.024, 1345.559
936.286, 1654.389
937.549, 2100.727
938.811, 2381.574
940.073, 2506.424
941.334, 2971.281
942.596, 3346.148
943.857, 4158.959
945.118, 4381.838
946.379, 5012.723
947.640, 5144.434
948.900, 5567.328
950.161, 5697.889
951.421, 5756.414
952.681, 5686.326
953.940, 5284.244
955.200, 4829.164
956.459, 4617.508
957.719, 4117.652
958.978, 3840.584
960.236, 3287.518
961.495, 3056.457
962.753, 2609.662
964.012, 2852.727
965.270, 2410.971
966.527, 2177.434
967.785, 2211.729
969.043, 1908.680
970.300, 1980.410
971.557, 1711.365
972.814, 1585.320
974.071, 1301.287
975.327, 1242.242
976.583, 1027.201
977.840, 831.158
979.095, 869.113
980.351, 701.799
981.607, 524.027
982.862, 531.982
984.117, 537.938
985.372, 398.893
986.627, 433.848
987.882, 421.803
989.136, 334.758
990.390, 321.713
991.644, 407.664
992.898, 459.619
994.152, 596.570
995.405, 357.568
996.659, 746.564
997.912, 629.559
999.165, 939.562
1000.417, 985.561
1001.670, 883.559
1002.922, 979.619
1004.174, 659.725
1005.426, 837.924
1006.678, 709.176
1007.930, 462.439
1009.181, 499.830
1010.432, 433.324
1011.683, 592.838
1012.934, 568.467
1014.185, 172.092
1015.435, 341.820
1016.685, 357.609
1017.935, 89.410
1019.185, 424.375
1020.435, 22.666
1021.684, 260.330
1022.934, 394.348
1024.183, 40.639
1025.432, 445.340
1026.680, 103.688
1027.929, 34.781
1029.177, 77.113
1030.425, 32.998
1031.673, 80.141
1032.921, 10.342
1034.169, 312.564
1035.416, 306.031
1036.663, 150.381
1037.911, 123.113
1039.157, 175.596
1040.404, 194.928
1041.650, 114.426
1042.897, 144.229
1044.143, 25.980
1045.389, 103.230
1046.634, 193.566
1047.880, 375.516
1049.125, 508.586
1050.371, 172.354
1051.615, 320.592
1052.860, 283.531
1054.105, 204.459
