##NAMES=Inderite
##RRUFFID=R050195
##IDEAL CHEMISTRY=MgB_3_O_3_(OH)_5_&#183;5H_2_O
##LOCALITY=Boron, Kern County, California, USA
##OWNER=RRUFF
##SOURCE=Dave Bunk Minerals
##DESCRIPTION=Colorless prismatic crystal
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050195
##MEASURED CHEMISTRY=Mg_1.00_B_3.00_O_3_(OH)_5_·5H_2_O ; Mg measured, only
##PIN_ID=L00488
##ORIENTATION=Laser parallel to a* (1 0 0). Fiducial mark perpendicular to laser is parallel to b [0 1 0]
886.909, 3052.426
888.178, 3011.941
889.448, 2967.426
890.717, 2872.891
891.987, 2758.328
893.256, 2644.316
894.524, 2595.129
895.793, 2340.492
897.061, 2256.836
898.330, 2061.156
899.598, 2079.453
900.865, 1918.730
902.133, 1639.984
903.401, 1707.223
904.668, 1755.434
905.935, 1522.625
907.202, 1439.797
908.468, 1543.953
909.735, 1390.086
911.001, 1163.203
912.267, 1288.305
913.533, 1020.383
914.799, 1397.441
916.064, 861.488
917.330, 969.516
918.595, 1076.531
919.860, 729.531
921.124, 1119.512
922.389, 528.477
923.653, 1045.430
924.918, 890.367
926.182, 556.289
927.445, 762.199
928.709, 756.098
929.972, 650.980
931.236, 898.855
932.499, 798.719
933.761, 806.570
935.024, 802.422
936.286, 862.262
937.549, 1055.098
938.811, 1087.918
940.073, 1338.734
941.334, 1536.535
942.596, 1197.336
943.857, 1709.129
945.118, 1495.906
946.379, 1904.684
947.640, 1678.344
948.900, 1720.105
950.161, 1790.355
951.421, 1451.891
952.681, 1323.637
953.940, 1240.023
955.200, 953.781
956.459, 988.516
957.719, 809.734
958.978, 618.273
960.236, 680.945
961.495, 295.246
962.753, 422.969
964.012, 322.594
965.270, 15.684
966.527, 571.879
967.785, 182.809
969.043, 70.473
970.300, 340.586
971.557, 164.203
972.814, 104.988
974.071, 152.094
975.327, 13.898
976.583, 179.340
977.840, 124.234
979.095, 29.102
980.351, 97.012
981.607, 12.996
982.862, 202.043
984.117, 369.504
985.372, 156.223
986.627, 497.266
987.882, 229.094
989.136, 608.016
990.390, 617.273
991.644, 542.543
992.898, 999.762
994.152, 843.402
995.405, 1414.270
996.659, 1705.824
997.912, 1465.707
999.165, 2316.664
1000.417, 2583.574
1001.670, 2679.520
1002.922, 3115.336
1004.174, 2913.520
1005.426, 3049.742
1006.678, 3033.008
1007.930, 3122.309
1009.181, 3406.691
1010.432, 3216.113
1011.683, 3333.582
1012.934, 3645.164
1014.185, 3482.785
1015.435, 3922.441
1016.685, 3504.180
1017.935, 3614.953
1019.185, 3921.816
1020.435, 3604.727
1021.684, 4018.668
1022.934, 3924.676
1024.183, 3183.723
1025.432, 3624.816
1026.680, 3156.953
1027.929, 3164.129
1029.177, 2826.363
1030.425, 2557.645
1031.673, 2762.973
1032.921, 2524.426
1034.169, 1879.934
1035.416, 2057.484
1036.663, 1661.098
1037.911, 1650.758
1039.157, 1600.500
1040.404, 1690.289
