##NAMES=Gaspeite
##RRUFFID=R040157
##IDEAL CHEMISTRY=NiCO_3_
##LOCALITY=Lemieux Township, Gaspe Nord County, Gaspe Peninsula, Quebec, Canada
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Green massive
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R040157
##MEASURED CHEMISTRY=(Ni_0.54_Mg_0.31_Fe_0.15_Ca_0.01_Co_0.01_)C_1.00_O_3_; = the gray bands. Light grey bands are also gaspeite: (Ni_0.57_Mg_0.41_Fe_0.08_)C_0.97_O_3_; Dark grey bands, magnesite: (Mg_0.98_Fe_0.04_Ni_0.03_)C_0.97_O_3_
##PIN_ID=M00309
1422.753, 2258.029
1423.943, 2513.580
1425.132, 2442.363
1426.321, 2604.209
1427.510, 2662.923
1428.698, 2611.481
1429.887, 2586.523
1431.075, 2676.537
1432.263, 2610.244
1433.451, 2491.677
1434.639, 2522.793
1435.827, 2339.623
1437.014, 2238.426
1438.201, 2174.740
1439.388, 1995.421
1440.575, 1972.158
1441.762, 1722.359
1442.949, 1641.631
1444.135, 1526.224
1445.321, 1454.170
1446.507, 1304.496
1447.693, 1304.958
1448.879, 1029.686
1450.064, 1065.255
1451.250, 973.503
1452.435, 880.209
1453.620, 829.941
1454.805, 706.403
1455.989, 663.396
1457.174, 654.312
1458.358, 585.032
1459.542, 672.304
1460.726, 528.973
1461.910, 507.864
1463.093, 476.330
1464.277, 579.133
1465.460, 501.564
1466.643, 528.540
1467.826, 451.995
1469.009, 456.158
1470.191, 490.674
1471.373, 323.102
1472.556, 360.427
1473.738, 346.669
1474.919, 340.823
1476.101, 360.888
1477.283, 451.919
1478.464, 327.896
1479.645, 391.803
1480.826, 311.660
1482.007, 314.606
1483.187, 427.538
1484.368, 318.574
1485.548, 399.747
1486.728, 416.954
1487.908, 255.251
1489.088, 404.662
1490.268, 247.167
1491.447, 262.789
1492.626, 292.568
1493.805, 304.376
1494.984, 115.228
1496.163, 404.140
1497.341, 158.080
1498.520, 136.052
1499.698, 322.069
1500.876, 217.150
1502.054, 216.272
1503.232, 232.425
1504.409, 227.634
1505.586, 216.898
1506.763, 191.240
1507.940, 184.679
1509.117, 134.235
1510.294, 170.933
1511.470, 97.780
1512.647, 177.782
1513.823, 118.943
1514.999, 179.267
1516.174, 87.749
1517.350, 58.403
1518.526, 213.249
1519.701, 208.310
1520.876, 43.614
1522.051, 114.199
1523.226, 170.106
1524.400, 4.622
1525.574, 191.050
1526.749, 120.177
1527.923, 158.826
1529.097, 249.092
1530.270, 8.258
1531.444, 177.085
1532.617, 162.366
1533.790, 113.419
1534.963, 119.343
1536.136, 69.981
1537.309, 0.000
##END=



