##NAMES=Inderite
##RRUFFID=R050195
##IDEAL CHEMISTRY=MgB_3_O_3_(OH)_5_&#183;5H_2_O
##LOCALITY=Boron, Kern County, California, USA
##OWNER=RRUFF
##SOURCE=Dave Bunk Minerals
##DESCRIPTION=Colorless prismatic crystal
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050195
##MEASURED CHEMISTRY=Mg_1.00_B_3.00_O_3_(OH)_5_·5H_2_O ; Mg measured, only
##PIN_ID=L00380
##ORIENTATION=Laser parallel to -b* (0 -1 0). Fiducial mark perpendicular to laser is parallel to -c [0 0 -1]
1235.038, 1124.898
1236.255, 69.324
1237.472, 1181.805
1238.689, 814.809
1239.906, 383.078
1241.122, 1195.262
1242.338, 449.270
1243.555, 798.527
1244.771, 1142.230
1245.986, 245.902
1247.202, 1404.516
1248.417, 652.891
1249.633, 498.023
1250.848, 1462.949
1252.063, 460.438
1253.277, 1023.027
1254.492, 1354.082
1255.706, 288.941
1256.920, 1225.734
1258.134, 1153.457
1259.348, 618.117
1260.562, 1230.480
1261.775, 780.996
1262.988, 957.434
1264.201, 1401.797
1265.414, 393.082
1266.627, 1366.297
1267.839, 1310.105
1269.052, 669.707
1270.264, 1963.082
1271.476, 896.266
1272.688, 917.480
1273.899, 1689.703
1275.111, 339.906
1276.322, 1547.023
1277.533, 1471.969
1278.744, 567.852
1279.955, 1435.688
1281.165, 842.473
1282.376, 471.574
1283.586, 1262.879
1284.796, 166.328
1286.006, 495.949
1287.215, 847.723
1288.425, 43.641
1289.634, 1023.637
1290.843, 345.734
1292.052, 133.840
1293.261, 1009.922
1294.469, 303.980
1295.678, 414.023
1296.886, 749.059
1298.094, 463.906
1299.302, 634.137
1300.509, 450.203
1301.717, 323.703
1302.924, 1136.398
1304.131, 24.672
1305.338, 89.582
1306.545, 512.902
1307.752, 62.973
1308.958, 524.352
1310.164, 742.262
1311.370, 397.387
1312.576, 938.855
1313.782, 659.508
1314.987, 519.457
1316.193, 1125.688
1317.398, 79.996
1318.603, 652.727
1319.807, 1218.133
1321.012, 73.598
1322.216, 1172.125
1323.421, 713.730
1324.625, 194.441
1325.829, 1455.281
1327.032, 270.270
1328.236, 545.246
1329.439, 1394.566
1330.642, 376.094
1331.845, 1181.820
1333.048, 1578.348
1334.251, 558.844
1335.453, 1998.859
1336.656, 1690.078
1337.858, 1725.770
1339.060, 2956.395
1340.261, 2118.906
1341.463, 2847.500
1342.664, 3756.289
1343.866, 2857.074
1345.067, 4463.234
1346.267, 4434.082
1347.468, 4405.555
1348.669, 5659.707
1349.869, 4492.652
1351.069, 4780.965
1352.269, 6341.266
1353.469, 4197.625
1354.668, 4788.715
1355.868, 4351.086
1357.067, 2922.910
1358.266, 3835.738
1359.465, 2713.461
1360.664, 1995.137
1361.862, 2915.613
1363.061, 1531.582
1364.259, 1492.324
1365.457, 2198.770
1366.655, 548.625
1367.852, 1233.090
1369.050, 1172.297
1370.247, 72.301
1371.444, 969.660
1372.641, 340.371
1373.838, 8.781
1375.035, 1107.273
1376.231, 7.438
1377.427, 649.535
1378.623, 0.000
##END=



