##NAMES=Grossular
##RRUFFID=R060442
##IDEAL CHEMISTRY=Ca_3_Al_2_(SiO_4_)_3_
##LOCALITY=Pakistan(?)
##OWNER=RRUFF
##SOURCE=Gemological Institute of America
##DESCRIPTION=Orange crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060442
##MEASURED CHEMISTRY=(Ca_2.85_Fe^2+^_0.15_)_Σ=3_(Al_1.85_Fe^3+^_0.15_)_Σ=2_(Si_1.00_O_4_)_3_; trace amounts of Ti, Mg
##PIN_ID=M01870
##ORIENTATION=Laser parallel to a* (1 0 0). Fiducial mark perpendicular to laser is parallel to c [0 0 1]
588.0020, 933.0186
589.1720, 958.1533
590.3410, 889.5222
591.5110, 771.5820
592.6800, 680.4812
593.8500, 631.3525
595.0190, 571.2104
596.1880, 468.0330
597.3560, 552.8613
598.5250, 464.6328
599.6930, 596.3784
600.8620, 669.0979
602.0300, 679.7910
603.1970, 788.4575
604.3650, 805.0967
605.5330, 836.7090
606.7000, 873.2939
607.8680, 908.2070
609.0350, 971.3799
610.2020, 1010.880
611.3680, 1015.353
612.5350, 1102.796
613.7010, 1239.211
614.8680, 1200.596
616.0340, 1266.952
617.2000, 1282.278
618.3660, 1312.574
619.5310, 1387.840
620.6970, 1499.075
621.8620, 1531.280
623.0270, 1626.454
624.1920, 1699.596
625.3570, 1714.708
626.5220, 1741.787
627.6860, 1688.835
628.8500, 1624.852
630.0140, 1400.835
631.1780, 1326.787
632.3420, 1068.705
633.5060, 897.5913
634.6700, 826.4446
635.8330, 665.2644
636.9960, 582.0508
638.1590, 538.8037
639.3220, 395.5227
640.4850, 386.2080
641.6470, 312.8586
642.8100, 304.4751
643.9720, 200.0566
645.1340, 148.6038
646.2960, 160.1160
647.4570, 101.8049
648.6190, 101.0354
649.7800, 87.44214
650.9420, 83.81348
652.1030, 56.46167
653.2640, 44.54419
654.4240, 4.692871
655.5850, 7.881104
656.7450, 1.009277
657.9060, 15.92651
659.0660, 15.06445
660.2260, 60.00122
661.3850, 116.1636
662.5450, 51.45239
663.7040, 7.833252
664.8640, 1.283936
666.0230, 58.80054
667.1820, 1.413818
668.3410, 45.09351
669.4990, 55.86279
670.6580, 92.72705
671.8160, 109.7058
672.9740, 120.8081
674.1320, 74.03931
675.2900, 89.37524
676.4480, 39.82324
677.6050, 91.35767
678.7630, 79.00464
679.9200, 25.75854
681.0770, 41.59082
682.2340, 52.50928
683.3900, 43.51953
684.5470, 8.616699
685.7030, 41.78223
686.8590, 72.03271
688.0150, 23.38428
689.1710, 60.81055
690.3270, 43.33105
691.4830, 23.93652
692.6380, 60.61597
693.7930, 116.3882
694.9480, 68.28223
696.1030, 74.27222
697.2580, 17.36084
698.4130, 13.48242
699.5670, 55.72583
700.7210, 29.02100
701.8750, 10.61133
703.0290, 5.192627
704.1830, 26.82642
705.3370, 6.204102
706.4900, 30.63623
707.6430, 41.02588
708.7970, 21.37549
709.9490, 49.05347
711.1020, 43.94946
712.2550, 52.18042
713.4070, 56.38135
714.5600, 3.551514
715.7120, 35.31812
716.8640, 13.24878
718.0160, 25.77466
719.1670, 47.77124
720.3190, 46.75146
721.4700, 24.28662
722.6210, 104.6252
723.7720, 8.506348
724.9230, 62.34644
726.0740, 31.15405
727.2250, 60.92627
728.3750, 32.66626
729.5250, 3.627930
730.6750, 95.03516
731.8250, 105.6685
732.9750, 90.27246
734.1240, 182.8469
735.2740, 82.39258
736.4230, 158.9092
737.5720, 134.3972
738.7210, 90.85718
739.8700, 149.2891
741.0190, 203.6934
742.1670, 242.0701
743.3150, 247.4197
744.4630, 269.7424
745.6110, 307.2190
746.7590, 347.3071
747.9070, 384.5498
749.0540, 424.7664
750.2020, 459.2808
751.3490, 420.1218
752.4960, 525.2615
753.6430, 557.3760
754.7890, 584.4656
755.9360, 674.5305
757.0820, 798.5710
758.2280, 841.3164
759.3740, 904.5801
760.5200, 1004.549
761.6660, 1050.495
762.8120, 1178.417
763.9570, 1235.316
765.1020, 1407.193
766.2470, 1401.048
767.3920, 1544.880
768.5370, 1559.691
769.6810, 1705.479
770.8260, 1626.248
771.9700, 1698.995
773.1140, 1692.721
774.2580, 1722.426
775.4020, 1774.111
776.5460, 1709.777
777.6890, 1560.423
778.8320, 1539.051
779.9750, 1515.661
781.1180, 1481.253
782.2610, 1444.828
783.4040, 1386.388
784.5460, 1364.082
785.6890, 1348.521
786.8310, 1333.997
787.9730, 1344.504
789.1150, 1394.009
790.2560, 1405.108
791.3980, 1407.828
792.5390, 1550.716
793.6810, 1523.773
794.8220, 1601.381
795.9630, 1904.898
797.1030, 2032.278
798.2440, 2178.992
799.3840, 2300.167
800.5240, 2593.387
801.6650, 2896.333
802.8040, 3249.677
803.9440, 3544.401
805.0840, 3902.712
806.2230, 4290.279
807.3630, 4751.174
808.5020, 5236.769
809.6410, 5744.302
810.7790, 6212.141
811.9180, 6693.552
813.0570, 7147.785
814.1950, 7703.764
815.3330, 8211.522
816.4710, 8862.082
817.6090, 9392.009
818.7470, 10142.96
819.8840, 10634.25
821.0220, 11298.16
822.1590, 11746.29
823.2960, 12223.36
824.4330, 12093.60
825.5690, 12082.93
826.7060, 11740.96
827.8420, 11016.12
828.9790, 10409.55
830.1150, 9837.729
